08:41:25 | 127.0.0.1 |  /localhost/article.php?_ijt=fk29jh6o9o6l4h38b0lim0dhte | direct
08:51:30 | 127.0.0.1 |  /localhost/index.php | http://localhost:63342/localhost/article.php?_ijt=fk29jh6o9o6l4h38b0lim0dhte
08:51:33 | 127.0.0.1 |  /localhost/article.php?id=39 | http://localhost:63342/localhost/index.php
08:51:42 | 127.0.0.1 |  /localhost/index.php | http://localhost:63342/localhost/404.php
08:51:45 | 127.0.0.1 |  /localhost/article.php?id=36 | http://localhost:63342/localhost/index.php
08:51:47 | 127.0.0.1 |  /localhost/edit.php?id=36 | http://localhost:63342/localhost/article.php?id=36
08:51:51 | 127.0.0.1 |  /localhost/edit.php?id=11 | direct
08:54:05 | 127.0.0.1 |  /localhost/index.php | http://localhost:63342/localhost/404.php
08:54:07 | 127.0.0.1 |  /localhost/add.php | http://localhost:63342/localhost/index.php
08:59:15 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
08:59:32 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
09:00:01 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
09:00:50 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
09:00:55 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:13 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
09:01:16 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:35 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | direct
09:01:38 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:46 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:49 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:56 | 127.0.0.1 |  /localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:56 | 127.0.0.1 |  /localhost/article.php?id=40 | http://localhost:63342/localhost/add.php?_ijt=p72o4ee3ks4rplaloaukcog322
09:01:59 | 127.0.0.1 |  /localhost/index.php | http://localhost:63342/localhost/article.php?id=40
09:02:04 | 127.0.0.1 |  /localhost/article.php?id=40 | http://localhost:63342/localhost/index.php
09:02:06 | 127.0.0.1 |  /localhost/delete.php?id=40 | http://localhost:63342/localhost/article.php?id=40
09:02:08 | 127.0.0.1 |  /localhost/index.php | http://localhost:63342/localhost/delete.php?id=40
